Set	Ontology	Term	Observed	Mean Expected N Genes	Enrichment	P Value	System
Chagyrskaya	GWAS	CSF tryptophan concentration in tuberculous meningitis	1	0.2488	4.019292605	0.220477952	nervous
Chagyrskaya	GWAS	Breast cancer and/or colorectal cancer	1	0.2489	4.017677782	0.220877912	reproductive
Chagyrskaya	GWAS	Quantitative traits	2	0.8812	2.26963232	0.221777822	other
Chagyrskaya	GWAS	Eye color	1	0.2508	3.987240829	0.222877712	integumentary
Chagyrskaya	GWAS	Asparaginase hypersensitivity in acute lymphoblastic leukemia	1	0.2491	4.014452027	0.222977702	other
Chagyrskaya	GWAS	Mortality in sepsis	1	0.2562	3.903200625	0.225177482	other
Chagyrskaya	GWAS	Hip geometry	1	0.2587	3.865481252	0.227277272	skeletal
Chagyrskaya	GWAS	Adiposity	1	0.2627	3.806623525	0.230376962	metabolic
Chagyrskaya	GWAS	Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)	1	0.2691	3.716090673	0.234376562	other
Chagyrskaya	GWAS	Blood urea nitrogen levels	2	0.9217	2.169903439	0.234576542	other
Chagyrskaya	GWAS	Depression in smokers	2	0.9269	2.157730068	0.238076192	behavior
Chagyrskaya	GWAS	Self-reported risk-taking behaviour	2	0.9415	2.124269782	0.238476152	behavior
Chagyrskaya	GWAS	Disease progression in age-related macular degeneration	3	1.6972	1.767617252	0.240675932	nervous
Chagyrskaya	GWAS	Plasma factor VII activating protease levels	1	0.2752	3.63372093	0.240875912	other
Chagyrskaya	GWAS	Cerebral amyloid deposition in APOEe4 non-carriers (PET imaging)	2	0.9439	2.118868524	0.240975902	nervous
Chagyrskaya	GWAS	Immune reponse to smallpox (secreted IL-12p40)	1	0.2773	3.606202669	0.242075792	immune
Chagyrskaya	GWAS	Familial lung cancer	1	0.277	3.610108303	0.243475652	respiratory
Chagyrskaya	GWAS	Emphysema-related traits	2	0.9522	2.100399076	0.245775422	respiratory
Chagyrskaya	GWAS	White matter hyperintensity burden	1	0.2886	3.465003465	0.252174783	nervous
Chagyrskaya	GWAS	Methotrexate phramacokinetics (acute lymphoblastic leukemia)	1	0.291	3.436426117	0.252574743	other
Chagyrskaya	GWAS	Iron status biomarkers (total iron binding capacity)	1	0.2934	3.408316292	0.254574543	other
Chagyrskaya	GWAS	Age at smoking initiation in chronic obstructive pulmonary disease	1	0.2929	3.414134517	0.255374463	respiratory
Chagyrskaya	GWAS	Response to tocilizumab in rheumatoid arthritis	1	0.2985	3.350083752	0.256374363	other
Chagyrskaya	GWAS	Body mass index (joint analysis main effects and smoking interaction)	3	1.7651	1.699620418	0.257774223	metabolic
Chagyrskaya	GWAS	Metabolic traits	1	0.3033	3.297065612	0.260873913	metabolic
Chagyrskaya	GWAS	BMI (adjusted for smoking behaviour)	3	1.7775	1.687763713	0.261273873	metabolic
Chagyrskaya	GWAS	Cardiometabolic and hematological traits	1	0.3043	3.286230693	0.261773823	cardiovascular
Chagyrskaya	GWAS	Inflammatory bowel disease	6	4.2801	1.401836406	0.262173783	digestive
Chagyrskaya	GWAS	Posterior cortical atrophy and Alzheimer's disease	1	0.3032	3.298153034	0.263273673	nervous
Chagyrskaya	GWAS	Hippocampal volume	2	1.0045	1.991040319	0.265473453	nervous
Chagyrskaya	GWAS	AIDS progression	1	0.3073	3.25414904	0.266373363	immune
Chagyrskaya	GWAS	Erosive tooth wear (severe vs none or mild)	2	0.9989	2.002202423	0.269173083	skeletal
Chagyrskaya	GWAS	Alcohol and nicotine co-dependence	1	0.3168	3.156565657	0.270572943	behavior
Chagyrskaya	GWAS	Response to lithium treatment in bipolar disorder	1	0.3144	3.180661578	0.271472853	other
Chagyrskaya	GWAS	Heart rate increase in response to exercise	1	0.3183	3.141690229	0.272072793	cardiovascular
Chagyrskaya	GWAS	Barrett's esophagus  or Esophageal adenocarcinoma	1	0.3189	3.135779241	0.273672633	digestive
Chagyrskaya	GWAS	Progressive supranuclear palsy	1	0.3181	3.143665514	0.274372563	nervous
Chagyrskaya	GWAS	Gut microbiota (bacterial taxa)	2	1.0327	1.936670863	0.276572343	digestive
Chagyrskaya	GWAS	Triglycerides	3	1.8582	1.614465612	0.281571843	metabolic
Chagyrskaya	GWAS	Brain structure	1	0.3325	3.007518797	0.283371663	nervous
Chagyrskaya	GWAS	Prostate cancer	4	2.6847	1.489924386	0.283771623	reproductive
Chagyrskaya	GWAS	Urinary albumin-to-creatinine ratio	1	0.3347	2.987750224	0.285771423	metabolic
Chagyrskaya	GWAS	Metabolite levels (HVA/MHPG ratio)	1	0.3363	2.973535534	0.287171283	metabolic
Chagyrskaya	GWAS	Heart rate response to recovery post exercise (10 sec)	1	0.3392	2.948113208	0.290570943	cardiovascular
Chagyrskaya	GWAS	Cleft lip with or without cleft palate	1	0.3419	2.924831822	0.292370763	other
Chagyrskaya	GWAS	Heart rate response to recovery post exercise (30 sec)	1	0.3445	2.90275762	0.292570743	cardiovascular
Chagyrskaya	GWAS	Remission after SSRI treatment in MDD or neuroticism	1	0.3466	2.885170225	0.294470553	other
Chagyrskaya	GWAS	Stearic acid (18:0) levels	1	0.3542	2.823263693	0.296570343	other
Chagyrskaya	GWAS	Heart rate response to recovery post exercise (40 sec)	1	0.3558	2.810567735	0.300169983	cardiovascular
Chagyrskaya	GWAS	LDL cholesterol levels	1	0.3681	2.716653083	0.306169383	metabolic
Chagyrskaya	GWAS	Renal sinus fat	1	0.3667	2.727024816	0.307369263	urinary
Chagyrskaya	GWAS	Height	8	6.4327	1.243645748	0.311368863	skeletal
Chagyrskaya	GWAS	Waist-to-hip ratio adjusted for BMI	3	1.9748	1.519141179	0.316168383	skeletal
Chagyrskaya	GWAS	HDL cholesterol	4	2.8637	1.396794357	0.322567743	metabolic
Chagyrskaya	GWAS	Metabolite levels (lipoprotein measures)	1	0.3888	2.572016461	0.322767723	metabolic
Chagyrskaya	GWAS	Alzheimer's disease	2	1.1755	1.701403658	0.327667233	nervous
Chagyrskaya	GWAS	Liver enzyme levels (gamma-glutamyl transferase)	1	0.3984	2.510040161	0.330366963	other
Chagyrskaya	GWAS	Atopic dermatitis	1	0.4066	2.459419577	0.333166683	integumentary
Chagyrskaya	GWAS	Neutrophil percentage of granulocytes	2	1.1899	1.680813514	0.334466553	lymphatic
Chagyrskaya	GWAS	Erosive tooth wear (severe vs non-severe)	2	1.1804	1.694340901	0.334866513	skeletal
Chagyrskaya	GWAS	Regular attendance at a gym or sports club	1	0.4069	2.457606291	0.334966503	behavior
Chagyrskaya	GWAS	Waist circumference	4	2.9665	1.348390359	0.344165583	skeletal
Chagyrskaya	GWAS	Liver enzyme levels (aspartate transaminase)	1	0.4187	2.388344877	0.344965503	other
Chagyrskaya	GWAS	D-dimer levels	1	0.4281	2.335902826	0.350764924	other
Chagyrskaya	GWAS	Liver fibrosis in pediatric non-alcoholic fatty acid liver disease	1	0.4412	2.266545784	0.352064794	other
Chagyrskaya	GWAS	Creatine kinase levels	1	0.4386	2.27998176	0.354364564	other
Chagyrskaya	GWAS	Idiopathic dilated cardiomyopathy	2	1.2636	1.582779361	0.356864314	cardiovascular
Chagyrskaya	GWAS	Midgestational circulating levels of PBDEs (fetal genetic effect)	1	0.4452	2.246181491	0.357664234	reproductive
Chagyrskaya	GWAS	Daytime sleep phenotypes	4	3.0366	1.317262728	0.358564144	behavior
Chagyrskaya	GWAS	Cerebrospinal fluid p-tau levels	1	0.4405	2.27014756	0.358964104	nervous
Chagyrskaya	GWAS	Obstructive sleep apnea trait (apnea hypopnea index)	1	0.4526	2.209456474	0.362463754	other
Chagyrskaya	GWAS	Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)	3	2.1717	1.381406272	0.364463554	skeletal
Chagyrskaya	GWAS	Psychosis (atypical)	1	0.4521	2.211900022	0.365863414	behavior
Chagyrskaya	GWAS	Selective IgA deficiency	1	0.4671	2.140869193	0.366863314	immune
Chagyrskaya	GWAS	Non-small cell lung cancer	1	0.4573	2.186748305	0.370162984	respiratory
Chagyrskaya	GWAS	Hip circumference	2	1.2883	1.552433439	0.370362964	skeletal
Chagyrskaya	GWAS	Response to statin therapy	2	1.3017	1.536452332	0.371462854	other
Chagyrskaya	GWAS	Low high density lipoprotein cholesterol levels	1	0.4704	2.12585034	0.372762724	metabolic
Chagyrskaya	GWAS	Smooth-surface caries	1	0.4627	2.161227577	0.373362664	skeletal
Chagyrskaya	GWAS	Serum metabolite levels	1	0.4707	2.124495432	0.377562244	metabolic
Chagyrskaya	GWAS	Resting heart rate	3	2.1944	1.367116296	0.379362064	cardiovascular
Chagyrskaya	GWAS	Heart rate response to recovery post exercise (20 sec)	1	0.4739	2.110149821	0.380261974	cardiovascular
Chagyrskaya	GWAS	Mean arterial pressure x alcohol consumption (light vs heavy) interaction (2df test)	1	0.4766	2.098195552	0.382461754	cardiovascular
Chagyrskaya	GWAS	Systolic blood pressure x smoking status (ever vs never) interaction (2df test)	2	1.3205	1.514577811	0.382461754	cardiovascular
Chagyrskaya	GWAS	Hair greying	1	0.4829	2.070822116	0.382861714	integumentary
Chagyrskaya	GWAS	Myeloid white cell count	2	1.3407	1.491758037	0.387161284	immune
Chagyrskaya	GWAS	Cardiac structure and function	1	0.4906	2.038320424	0.390260974	cardiovascular
Chagyrskaya	GWAS	Heart rate response to recovery post exercise (50 sec)	1	0.5	2	0.394560544	cardiovascular
Chagyrskaya	GWAS	Periodontitis (Mean PAL)	2	1.3648	1.465416178	0.394860514	immune
Chagyrskaya	GWAS	Vitiligo	2	1.3543	1.476777671	0.395460454	integumentary
Chagyrskaya	GWAS	Sum neutrophil eosinophil counts	2	1.3752	1.454333915	0.397960204	hematologic
Chagyrskaya	GWAS	Metabolic syndrome	1	0.5129	1.949697797	0.400059994	metabolic
Chagyrskaya	GWAS	LDL peak particle diameter (total fat intake interaction)	1	0.5118	1.953888238	0.400759924	metabolic
Chagyrskaya	GWAS	Diastolic blood pressure x smoking status (ever vs never) interaction (2df test)	2	1.3774	1.452011035	0.401459854	cardiovascular
Chagyrskaya	GWAS	Chronic lymphocytic leukemia	1	0.5175	1.93236715	0.405959404	lymphatic
Chagyrskaya	GWAS	Cannabis use	1	0.5261	1.90077932	0.407259274	behavior
Chagyrskaya	GWAS	Granulocyte count	2	1.4042	1.424298533	0.408559144	immune
Chagyrskaya	GWAS	Electrocardiographic traits	1	0.5277	1.895016108	0.409059094	cardiovascular
Chagyrskaya	GWAS	Diastolic blood pressure x smoking status (current vs non-current) interaction (2df test)	2	1.4006	1.427959446	0.410058994	cardiovascular
Chagyrskaya	GWAS	Body mass index in physically active individuals	3	2.3202	1.292991983	0.411658834	metabolic
Chagyrskaya	GWAS	Triglyceride change in response to fenofibrate in statin-treated type 2 diabetes	1	0.5385	1.857010214	0.417758224	metabolic
Chagyrskaya	GWAS	Upper eyelid sagging severity	1	0.5519	1.81192245	0.420257974	integumentary
Chagyrskaya	GWAS	Body mass index (change over time)	1	0.5427	1.842638659	0.421457854	metabolic
Chagyrskaya	GWAS	Glucocorticoid-induced osteonecrosis (age 10 years and older)	1	0.5467	1.829156759	0.425357464	other
Chagyrskaya	GWAS	Response to anti-retroviral therapy (ddI/d4T) in HIV-1 (Grade 2 peripheral neuropathy)	1	0.5558	1.799208348	0.425457454	other
Chagyrskaya	GWAS	Pancreatic cancer	2	1.4705	1.360081605	0.425757424	endocrine
Chagyrskaya	GWAS	Zinc levels	1	0.5585	1.790510295	0.429757024	other
Chagyrskaya	GWAS	Response to fenofibrate (triglyceride levels)	1	0.5588	1.789549034	0.429857014	other
Chagyrskaya	GWAS	BMI in non-smokers	2	1.4539	1.375610427	0.431256874	metabolic
Chagyrskaya	GWAS	Hand grip strength	4	3.3441	1.196136479	0.432456754	skeletal muscle
Chagyrskaya	GWAS	Spherical equivalent (joint analysis main effects and education interaction)	1	0.5874	1.702417433	0.444755524	nervous
Chagyrskaya	GWAS	Basophil percentage of white cells	1	0.5985	1.670843776	0.448855114	immune
Chagyrskaya	GWAS	Bipolar disorder (body mass index interaction)	1	0.5941	1.683218313	0.449455054	behavior
Chagyrskaya	GWAS	Hypospadias	1	0.5954	1.679543164	0.450554945	urinary
Chagyrskaya	GWAS	QT interval	3	2.4869	1.206321123	0.451254875	cardiovascular
Chagyrskaya	GWAS	Cerebrospinal fluid beta-site APP cleaving enzyme levels	1	0.6001	1.666388935	0.453454655	nervous
Chagyrskaya	GWAS	Paclitaxel disposition in epithelial ovarian cancer	2	1.5443	1.295085152	0.454054595	other
Chagyrskaya	GWAS	Western dietary pattern	1	0.615	1.62601626	0.458054195	behavior
Chagyrskaya	GWAS	Uterine fibroid number (single vs multiple)	1	0.6138	1.629195178	0.458154185	reproductive
Chagyrskaya	GWAS	Erectile dysfunction and prostate cancer treatment	1	0.6205	1.611603546	0.462053795	reproductive
Chagyrskaya	GWAS	Phospholipid levels (plasma)	1	0.6144	1.627604167	0.464153585	metabolic
Chagyrskaya	GWAS	Hemoglobin	1	0.6223	1.606941989	0.466253375	hematologic
Chagyrskaya	GWAS	Weight	1	0.6284	1.591343094	0.466553345	skeletal
Chagyrskaya	GWAS	Tonsillectomy	1	0.6256	1.598465473	0.467753225	lymphatic
Chagyrskaya	GWAS	Age-related macular degeneration	1	0.6298	1.587805653	0.467853215	nervous
Chagyrskaya	GWAS	Urate levels in lean individuals	1	0.6313	1.584032948	0.468053195	metabolic
Chagyrskaya	GWAS	Migraine	2	1.5912	1.256913022	0.470052995	nervous
Chagyrskaya	GWAS	Borderline personality disorder	1	0.6382	1.566906926	0.470852915	behavior
Chagyrskaya	GWAS	Radiation response	1	0.6419	1.557875058	0.474552545	other
Chagyrskaya	GWAS	Bipolar disorder and schizophrenia	2	1.602	1.248439451	0.474852515	behavior
Chagyrskaya	GWAS	Knee osteoarthritis	1	0.6501	1.538224888	0.476652335	skeletal
Chagyrskaya	GWAS	Atrial fibrillation	5	4.5442	1.100303684	0.476952305	cardiovascular
Chagyrskaya	GWAS	Feeling fed-up	1	0.6571	1.521838381	0.479152085	behavior
Chagyrskaya	GWAS	Crohn's disease	5	4.5576	1.097068633	0.481951805	immune
Chagyrskaya	GWAS	Dimensional psychopathology (Cognitive)	1	0.6672	1.498800959	0.485051495	behavior
Chagyrskaya	GWAS	Body mass index (joint analysis main effects and physical activity interaction)	3	2.6041	1.152029492	0.486951305	metabolic
Chagyrskaya	GWAS	Testicular germ cell tumor	1	0.6691	1.494544911	0.489851015	reproductive
Chagyrskaya	GWAS	Aluminium levels	1	0.674	1.483679525	0.491250875	other
Chagyrskaya	GWAS	Response to methotrexate in juvenile idiopathic arthritis	2	1.6567	1.207219171	0.493850615	other
Chagyrskaya	GWAS	ALT levels after remission induction therapy in actute lymphoblastic leukemia (ALL)	1	0.6789	1.472970982	0.495550445	other
Chagyrskaya	GWAS	Homeostasis model assessment of beta-cell function (dietary factor interaction)	1	0.6924	1.444251878	0.496550345	metabolic
Chagyrskaya	GWAS	Autism	1	0.689	1.45137881	0.496850315	behavior
Chagyrskaya	GWAS	Mood instability	1	0.679	1.47275405	0.496950305	behavior
Chagyrskaya	GWAS	Lung cancer in never smokers	1	0.6939	1.441129846	0.501849815	respiratory
Chagyrskaya	GWAS	Bulimia nervosa	1	0.696	1.436781609	0.502349765	behavior
Chagyrskaya	GWAS	Alzheimer's disease in APOE e4- carriers	1	0.6994	1.429796969	0.503249675	nervous
Chagyrskaya	GWAS	Systemic sclerosis	1	0.6954	1.438021283	0.504449555	other
Chagyrskaya	GWAS	Joint mobility (Beighton score)	1	0.7011	1.426330053	0.504749525	skeletal
Chagyrskaya	GWAS	Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test)	1	0.7101	1.408252359	0.510348965	cardiovascular
Chagyrskaya	GWAS	Liver enzyme levels (alanine transaminase)	1	0.7123	1.40390285	0.512448755	other
Chagyrskaya	GWAS	Serum metabolite concentrations in chronic kidney disease	1	0.7268	1.375894331	0.514048595	urinary
Chagyrskaya	GWAS	Serum uric acid levels	1	0.7286	1.372495196	0.520947905	other
Chagyrskaya	GWAS	Melanoma	1	0.7414	1.348799568	0.522947705	integumentary
Chagyrskaya	GWAS	Dupuytren's disease	1	0.7457	1.341021859	0.524547545	integumentary
Chagyrskaya	GWAS	Uterine fibroid size (maximum volume)	1	0.7613	1.313542624	0.531846815	reproductive
Chagyrskaya	GWAS	Attention deficit hyperactivity disorder	3	2.8103	1.06750169	0.533446655	behavior
Chagyrskaya	GWAS	Platelet aggregation	1	0.7643	1.308386759	0.537246275	hematologic
Chagyrskaya	GWAS	Estrone/androstenedione ratio in resected early stage-receptor positive breast cancer	1	0.7909	1.264382349	0.546345365	endocrine
Chagyrskaya	GWAS	Headache	1	0.7955	1.257071025	0.547645235	nervous
Chagyrskaya	GWAS	Myopia (pathological)	2	1.8387	1.087725023	0.548745125	nervous
Chagyrskaya	GWAS	Bone mineral density (Ward's triangle area)	1	0.7888	1.267748479	0.549845015	skeletal
Chagyrskaya	GWAS	Red cell distribution width	2	1.8404	1.086720278	0.550244976	hematologic
Chagyrskaya	GWAS	Refractive error	1	0.83	1.204819277	0.556944306	nervous
Chagyrskaya	GWAS	Body mass index	16	16.3061	0.981227884	0.562543746	metabolic
Chagyrskaya	GWAS	Pulse pressure x alcohol consumption interaction (2df test)	1	0.8456	1.182592242	0.566343366	cardiovascular
Chagyrskaya	GWAS	Extremely high intelligence	1	0.8543	1.170548987	0.576342366	other
Chagyrskaya	GWAS	"Cholesterol, total"	1	0.8686	1.151277918	0.576742326	metabolic
Chagyrskaya	GWAS	Nose size	1	0.8744	1.143641354	0.578542146	skeletal
Chagyrskaya	GWAS	Plateletcrit	3	3.017	0.994365264	0.579142086	hematologic
Chagyrskaya	GWAS	Obesity (early onset extreme)	1	0.8806	1.135589371	0.580341966	metabolic
Chagyrskaya	GWAS	Coronary artery disease	6	6.1669	0.972936159	0.580541946	cardiovascular
Chagyrskaya	GWAS	Logical memory (delayed recall) in normal cognition	1	0.8666	1.153934918	0.580641936	nervous
Chagyrskaya	GWAS	Rosacea symptom severity	3	3.0111	0.99631364	0.581741826	integumentary
Chagyrskaya	GWAS	Social science traits (pleiotropy) (HIPO component 1)	1	0.8836	1.131733816	0.585741426	behavior
Chagyrskaya	GWAS	Waist circumference adjusted for BMI in non-smokers	1	0.8691	1.150615579	0.587241276	skeletal
Chagyrskaya	GWAS	Cerebrospinal fluid t-tau:AB1-42 ratio	1	0.8735	1.144819691	0.588241176	nervous
Chagyrskaya	GWAS	Pelvic organ prolapse (moderate/severe)	1	0.8895	1.124227094	0.588641136	skeletal muscle
Chagyrskaya	GWAS	Intelligence	1	0.897	1.114827202	0.592740726	other
Chagyrskaya	GWAS	Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes	2	1.9948	1.002606778	0.593340666	cardiovascular
Chagyrskaya	GWAS	Calcium levels	1	0.9023	1.108278843	0.594740526	other
Chagyrskaya	GWAS	Endometrial cancer (endometrioid histology)	1	0.9545	1.047668937	0.610538946	reproductive
Chagyrskaya	GWAS	Glucose homeostasis traits	2	2.0832	0.960061444	0.618238176	metabolic
Chagyrskaya	GWAS	High density lipoprotein cholesterol levels	1	0.9702	1.030715316	0.621737826	metabolic
Chagyrskaya	GWAS	Immature fraction of reticulocytes	1	0.9991	1.000900811	0.627037296	hematologic
Chagyrskaya	GWAS	Total body bone mineral density	1	0.9783	1.022181335	0.627437256	skeletal
Chagyrskaya	GWAS	Mean arterial pressure	1	1.0059	0.994134606	0.631436856	cardiovascular
Chagyrskaya	GWAS	Waist circumference adjusted for BMI in active individuals	1	0.995	1.005025126	0.632336766	skeletal
Chagyrskaya	GWAS	Rheumatoid arthritis	2	2.1556	0.927815921	0.634836516	immune
Chagyrskaya	GWAS	Seasonality and depression	1	1.0096	0.990491284	0.637036296	behavior
Chagyrskaya	GWAS	Erectile dysfunction	1	1.016	0.984251969	0.638036196	reproductive
Chagyrskaya	GWAS	Obesity	2	2.1741	0.919920887	0.639136086	metabolic
Chagyrskaya	GWAS	Photic sneeze reflex	3	3.3378	0.898795614	0.645335466	nervous
Chagyrskaya	GWAS	Feeling worry	1	1.0347	0.966463709	0.646235376	behavior
Chagyrskaya	GWAS	Autism spectrum disorder or schizophrenia	3	3.2943	0.910663874	0.647635236	behavior
Chagyrskaya	GWAS	Influenza A (H1N1) infection	1	1.0459	0.956114351	0.649735026	immune
Chagyrskaya	GWAS	Triglyceride levels	1	1.0403	0.961261175	0.653634637	metabolic
Chagyrskaya	GWAS	Response to amphetamines	2	2.2337	0.895375386	0.654634537	other
Chagyrskaya	GWAS	Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	1	1.0646	0.939319932	0.658734127	skeletal
Chagyrskaya	GWAS	Irritable mood	1	1.0851	0.921574048	0.660733927	behavior
Chagyrskaya	GWAS	Small cell lung carcinoma	1	1.0803	0.925668796	0.660833917	respiratory
Chagyrskaya	GWAS	Dementia and core Alzheimer's disease neuropathologic changes	1	1.0701	0.934492104	0.661333867	nervous
Chagyrskaya	GWAS	Acute lymphoblastic leukemia (childhood)	1	1.0778	0.927815921	0.662333767	lymphatic
Chagyrskaya	GWAS	Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)	1	1.0866	0.920301859	0.664633537	skeletal
Chagyrskaya	GWAS	Metabolite levels	1	1.0885	0.918695452	0.666033397	metabolic
Chagyrskaya	GWAS	Post-traumatic stress disorder	1	1.072	0.932835821	0.666033397	behavior
Chagyrskaya	GWAS	Neuroticism	2	2.2839	0.875695083	0.667233277	behavior
Chagyrskaya	GWAS	Verbal declarative memory	1	1.1149	0.89694143	0.671232877	nervous
Chagyrskaya	GWAS	Corneal astigmatism	1	1.114	0.897666068	0.674932507	nervous
Chagyrskaya	GWAS	Glaucoma	1	1.1309	0.884251481	0.677032297	nervous
Chagyrskaya	GWAS	Lung cancer	1	1.1177	0.894694462	0.677732227	respiratory
Chagyrskaya	GWAS	Asthma (childhood onset)	1	1.1406	0.876731545	0.681331867	respiratory
Chagyrskaya	GWAS	Type 2 diabetes (age of onset)	1	1.154	0.866551127	0.689831017	metabolic
Chagyrskaya	GWAS	Cognitive decline (age-related)	1	1.184	0.844594595	0.692830717	nervous
Chagyrskaya	GWAS	Waist circumference adjusted for BMI (adjusted for smoking behaviour)	1	1.1793	0.847960655	0.695130487	skeletal
Chagyrskaya	GWAS	Cognitive ability (MTAG)	1	1.2062	0.829049909	0.700429957	nervous
Chagyrskaya	GWAS	Mild influenza (H1N1) infection	1	1.1994	0.833750208	0.700529947	immune
Chagyrskaya	GWAS	Uterine fibroids	1	1.2518	0.798849656	0.710428957	reproductive
Chagyrskaya	GWAS	Diastolic blood pressure x alcohol consumption interaction (2df test)	1	1.267	0.789265983	0.718628137	cardiovascular
Chagyrskaya	GWAS	Platelet count	3	3.7695	0.79586152	0.728627137	hematologic
Chagyrskaya	GWAS	Thiazide-induced adverse metabolic effects in hypertensive patients	1	1.3012	0.768521365	0.729527047	other
Chagyrskaya	GWAS	Granulocyte percentage of myeloid white cells	1	1.309	0.76394194	0.730526947	immune
Chagyrskaya	GWAS	"Coronary artery disease (myocardial infarction, PTCA, CABG, angina or CIHD)"	1	1.3098	0.76347534	0.730626937	cardiovascular
Chagyrskaya	GWAS	Squamous cell lung carcinoma	1	1.3005	0.768935025	0.732526747	respiratory
Chagyrskaya	GWAS	Anorexia nervosa	1	1.3587	0.735997645	0.738426157	behavior
Chagyrskaya	GWAS	Educational attainment	1	1.3449	0.743549706	0.739026097	other
Chagyrskaya	GWAS	Pulmonary function	1	1.3456	0.743162901	0.739526047	respiratory
Chagyrskaya	GWAS	Chin dimples	1	1.3438	0.744158357	0.740925907	integumentary
Chagyrskaya	GWAS	Cerebrospinal T-tau levels	1	1.3443	0.743881574	0.742325767	nervous
Chagyrskaya	GWAS	Monocyte percentage of white cells	1	1.3604	0.735077918	0.745325467	immune
Chagyrskaya	GWAS	Asthma	3	3.9932	0.751277171	0.759624038	respiratory
Chagyrskaya	GWAS	Schizophrenia	9	10.8971	0.82590781	0.759824018	behavior
Chagyrskaya	GWAS	Acne (severe)	1	1.4557	0.68695473	0.766323368	integumentary
Chagyrskaya	GWAS	Celiac disease	1	1.4579	0.685918101	0.769923008	digestive
Chagyrskaya	GWAS	QRS duration	1	1.4665	0.68189567	0.769923008	cardiovascular
Chagyrskaya	GWAS	High light scatter reticulocyte percentage of red cells	1	1.5093	0.662558802	0.774922508	metabolic
Chagyrskaya	GWAS	Lung cancer in ever smokers	1	1.4735	0.678656261	0.778622138	respiratory
Chagyrskaya	GWAS	Alzheimer's disease (late onset)	1	1.509	0.662690524	0.778822118	nervous
Chagyrskaya	GWAS	Systolic blood pressure x alcohol consumption interaction (2df test)	1	1.5234	0.656426415	0.781021898	cardiovascular
Chagyrskaya	GWAS	Sum basophil neutrophil counts	1	1.5337	0.652017996	0.784621538	hematologic
Chagyrskaya	GWAS	Platelet distribution width	2	2.8832	0.693673696	0.785221478	hematologic
Chagyrskaya	GWAS	Neurociticism	2	2.9301	0.682570561	0.788121188	behavior
Chagyrskaya	GWAS	Hypertension	1	1.5644	0.639222705	0.789421058	cardiovascular
Chagyrskaya	GWAS	Spherical equivalent or myopia (age of diagnosis)	3	4.2422	0.707180237	0.790320968	nervous
Chagyrskaya	GWAS	LDL cholesterol	1	1.5544	0.643335049	0.791120888	metabolic
Chagyrskaya	GWAS	Visceral adipose tissue/subcutaneous adipose tissue ratio	1	1.5861	0.630477271	0.796020398	metabolic
Chagyrskaya	GWAS	Reticulocyte count	1	1.6125	0.620155039	0.796320368	immune
Chagyrskaya	GWAS	Mean corpuscular volume	2	2.9576	0.676223965	0.796520348	hematologic
Chagyrskaya	GWAS	Blood pressure (smoking interaction)	1	1.6187	0.6177797	0.804419558	hematologic
Chagyrskaya	GWAS	Night sleep phenotypes	7	9.1226	0.767325105	0.804819518	behavior
Chagyrskaya	GWAS	Reticulocyte fraction of red cells	1	1.649	0.606428138	0.805319468	immune
Chagyrskaya	GWAS	Monocyte count	1	1.6244	0.615611918	0.807619238	immune
Chagyrskaya	GWAS	Methadone dose in opioid dependence	1	1.6816	0.594671741	0.808919108	other
Chagyrskaya	GWAS	General cognitive ability	3	4.3921	0.683044557	0.809319068	nervous
Chagyrskaya	GWAS	Cognitive performance	1	1.6711	0.598408234	0.810118988	nervous
Chagyrskaya	GWAS	Waist circumference adjusted for body mass index	1	1.6749	0.59705057	0.810218978	skeletal
Chagyrskaya	GWAS	Alzheimer's disease (cognitive decline)	2	3.068	0.651890482	0.810718928	nervous
Chagyrskaya	GWAS	Colorectal cancer	1	1.6741	0.597335882	0.813218678	digestive
Chagyrskaya	GWAS	Familial squamous cell lung carcinoma	1	1.664	0.600961538	0.813818618	respiratory
Chagyrskaya	GWAS	Macular thickness	2	3.105	0.644122383	0.815418458	nervous
Chagyrskaya	GWAS	Intraocular pressure	4	5.7846	0.691491201	0.829617038	nervous
Chagyrskaya	GWAS	Glomerular filtration rate (creatinine)	1	1.7451	0.573033064	0.832516748	hematologic
Chagyrskaya	GWAS	Glaucoma (primary open-angle)	1	1.7974	0.556359185	0.836416358	nervous
Chagyrskaya	GWAS	Allergic rhinitis	1	1.8389	0.543803361	0.843415658	immune
Chagyrskaya	GWAS	Diisocyanate-induced asthma	3	4.6867	0.640109245	0.844315568	respiratory
Chagyrskaya	GWAS	Total cholesterol levels	1	1.8462	0.541653125	0.846515348	metabolic
Chagyrskaya	GWAS	High light scatter reticulocyte count	1	1.9178	0.521430806	0.850114989	metabolic
Chagyrskaya	GWAS	Coronary artery aneurysm in Kawasaki disease	1	1.8889	0.529408651	0.854214579	cardiovascular
Chagyrskaya	GWAS	Post bronchodilator FEV1/FVC ratio	5	7.3982	0.675840069	0.860213979	other
