GWAS_term	system
GWAS: Ossification of the posterior longitudinal ligament of the spine	skeletal
GWAS: Osteoarthritis	skeletal
GWAS: Osteoarthritis (hip)	skeletal
GWAS: Osteoarthritis biomarkers	skeletal
GWAS: Osteoporosis-related phenotypes	skeletal
GWAS: Osteoprotegerin levels	skeletal
GWAS: Osteosarcoma	skeletal
GWAS: Otitis media	other
GWAS: Otitis media (chronic)	other
GWAS: Otitis media (recurrent)	other
GWAS: Ovarian cancer	reproductive
GWAS: Ovarian reserve	reproductive
GWAS: Overweight status	metabolic
GWAS: P wave duration	cardiovascular
GWAS: P wave terminal force	cardiovascular
GWAS: PCA3 expression level	other
GWAS: PR interval	cardiovascular
GWAS: PR interval in Tripanosoma cruzi seropositivity	cardiovascular
GWAS: PR segment	cardiovascular
GWAS: Paclitaxel disposition in epithelial ovarian cancer	other
GWAS: Paclitaxel-induced neuropathy	other
GWAS: Paget's disease	skeletal
GWAS: Pain medicine use during menstruation	reproductive
GWAS: Palmitic acid (16:0) levels	other
GWAS: Palmitoleic acid (16:1n-7) levels	other
GWAS: Pancreatic cancer	endocrine
GWAS: Pancreatic ductal adenocarcinoma	endocrine
GWAS: Pancreatitis	endocrine
GWAS: Paneth cell defects in Crohn's disease	immune
GWAS: Panic disorder	behavior
GWAS: Papillary thyroid cancer	endocrine
GWAS: Parent of origin effect on language impairment (paternal)	nervous
GWAS: Parental lifespan	other
GWAS: Parental longevity (both parents in top 10 percent)	other
GWAS: Parental longevity (combined parental age at death)	other
"GWAS: Parental longevity (combined parental attained age, Martingale residuals)"	other
GWAS: Parental longevity (father's age at death)	other
GWAS: Parental longevity (father's attained age)	other
GWAS: Parental longevity (mother's attained age)	other
GWAS: Parkinson disease and lewy body pathology	nervous
GWAS: Parkinson's disease	nervous
GWAS: Parkinson's disease (age of onset)	nervous
GWAS: Parkinson's disease (motor and cognition)	nervous
GWAS: Partial epilepsies	nervous
GWAS: Peak cortisol response to low dose short synacthen test in corticosteroid treated asthma	other
GWAS: Peak insulin response	other
GWAS: Peanut allergy	immune
GWAS: Peanut allergy (maternal genetic effects)	immune
GWAS: Peanut allergy (parent-of-origin effect)	immune
GWAS: Pediatric autoimmune diseases	immune
GWAS: Pediatric bone mineral content (radius)	skeletal
GWAS: Pediatric non-alcoholic fatty liver disease activity score	digestive
GWAS: Pelvic organ prolapse	skeletal muscle
GWAS: Pelvic organ prolapse (moderate/severe)	skeletal muscle
GWAS: Perceived unattractiveness to mosquitoes	other
GWAS: Percent mammographic density	reproductive
GWAS: Percentage gas trapping	metabolic
GWAS: Periodontal disease-related phenotypes	immune
GWAS: Periodontal microbiota	immune
GWAS: Periodontitis	immune
GWAS: Periodontitis (CDC/AAP)	immune
GWAS: Periodontitis (DPAL)	immune
GWAS: Periodontitis (Mean PAL)	immune
GWAS: Periodontitis (PAL4Q3)	immune
GWAS: Perioperative myocardial infarction in coronary artery bypass surgery	cardiovascular
GWAS: Peripheral arterial disease (traffic-related air pollution interaction)	cardiovascular
GWAS: Peripheral artery disease	cardiovascular
GWAS: Personality dimensions	behavior
GWAS: Personality traits in bipolar disorder	behavior
GWAS: Phospholipid levels (plasma)	metabolic
GWAS: Phospholipid levels in large HDL	metabolic
GWAS: Phospholipid levels in medium HDL	metabolic
GWAS: Phosphorus levels	other
GWAS: Photic sneeze reflex	nervous
GWAS: Physical activity (overall physical activity time)	behavior
GWAS: Pit-and-Fissure caries	skeletal
GWAS: Placental abruption	reproductive
GWAS: Plantar warts	integumentary
GWAS: Plasma amyloid beta peptide concentrations (ABx-40)	nervous
GWAS: Plasma amyloid beta peptide concentrations (ABx-42)	nervous
GWAS: Plasma androstenedione levels in resected early stage-receptor positive breast cancer	other
GWAS: Plasma clusterin levels	other
GWAS: Plasma factor VII activating protease levels	other
GWAS: Plasma homocysteine levels (post-methionine load test)	other
GWAS: Plasma kynurenine levels in major depressive disorder	other
GWAS: Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid)	other
GWAS: Plasma omega-3 polyunsaturated fatty acid levels (alphalinolenic acid)	other
GWAS: Plasma omega-3 polyunsaturated fatty acid levels (docosapentaenoic acid)	other
GWAS: Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)	other
GWAS: Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)	other
GWAS: Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)	other
GWAS: Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid)	other
GWAS: Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)	other
GWAS: Plasma parathyroid hormone levels	endocrine
GWAS: Plasma plasminogen activator levels	hematologic
GWAS: Plasma PCSK9 levels in stable coronary artery disease	cardiovascular
GWAS: Plasma renin activity levels	cardiovascular
GWAS: Plasma thyroid-stimulating hormone levels	endocrine
GWAS: Plasma trimethylamine N-oxide levels	other
GWAS: Plasminogen activator inhibitor type 1 levels (PAI-1)	other
GWAS: Platelet aggregation	hematologic
GWAS: Platelet count	hematologic
GWAS: Platelet distribution width	hematologic
GWAS: Plateletcrit	hematologic
GWAS: Pneumococcal bacteremia	respiratory
GWAS: Pneumoconiosis in silica exposure	respiratory
GWAS: Pneumonia	respiratory
GWAS: Polycystic ovary syndrome	reproductive
GWAS: Polymyositis	skeletal muscle
GWAS: Poor prognosis in Crohn's disease	other
GWAS: Possible neuropathic pain in post total joint replacement surgery for osteoarthritis	other
GWAS: Post bronchodilator FEV1	other
GWAS: Post bronchodilator FEV1 in COPD	other
GWAS: Post bronchodilator FEV1/FVC ratio	other
GWAS: Post bronchodilator FEV1/FVC ratio in COPD	other
GWAS: Post bronchodilator FEV1/FVC ratio in smoking	other
GWAS: Post bronchodilator percent predicted FEV1 in smoking	other
GWAS: Post-traumatic stress disorder	behavior
GWAS: Post-traumatic stress disorder (asjusted for relatedness)	behavior
GWAS: Posterior cortical atrophy and Alzheimer's disease	nervous
GWAS: Potassium levels	other
GWAS: Pre bronchodilator FEV1/FVC ratio	respiratory
GWAS: Preeclampsia	reproductive
GWAS: Premature menopause in childhood cancer survivors	other
GWAS: Presence of antiphospholipid antibodies	other
GWAS: Preterm birth (maternal effect)	reproductive
GWAS: Prevalent atrial fibrillation	cardiovascular
GWAS: Primary biliary cholangitis	digestive
GWAS: Primary biliary cirrhosis	digestive
GWAS: Primary sclerosing cholangitis	digestive
GWAS: Primary tooth development (number of teeth)	skeletal
GWAS: Primary tooth development (time to first tooth eruption)	skeletal
GWAS: Problematic alcohol use in trauma-exposed individuals	behavior
GWAS: Progranulin levels	nervous
GWAS: Progressive supranuclear palsy	nervous
GWAS: Proinsulin levels	metabolic
GWAS: Prostate cancer	reproductive
GWAS: Prostate cancer (SNP x SNP interaction)	reproductive
GWAS: Prostate cancer (advanced)	reproductive
GWAS: Prostate cancer (early onset)	reproductive
GWAS: Prostate-specific antigen levels	reproductive
GWAS: Prostate-specific antigen levels (conditioned on lead SNPs)	reproductive
GWAS: Protein C levels	other
GWAS: Protein quantitative trait loci	other
GWAS: Proteinuria and chronic kidney disease	urinary
GWAS: Proteinuria in chronic kidney disease	urinary
GWAS: Prothrombin time	hematologic
GWAS: Prudent dietary pattern	behavior
GWAS: Psoriasis	integumentary
GWAS: Psoriasis vulgaris	integumentary
GWAS: Psoriatic arthritis	integumentary
GWAS: Psychosis (atypical)	behavior
GWAS: Psychosis and Alzheimer's disease	behavior
GWAS: Psychosis in Alzheimer's disease	behavior
GWAS: Psychosis proneness (hypomanic personality scale and revised physical anhedonia scale)	behavior
GWAS: Psychosis proneness (hypomanic personality scale and revised social anhedonia scale)	behavior
GWAS: Psychosis proneness (hypomanic personality scale)	behavior
GWAS: Pubertal anthropometrics	skeletal
GWAS: Pulmonary arterial hypertension	cardiovascular
GWAS: Pulmonary artery enlargement and chronic obstructive pulmonary disease	cardiovascular
GWAS: Pulmonary function	respiratory
GWAS: Pulmonary function (smoking interaction)	respiratory
GWAS: Pulmonary function decline	respiratory
GWAS: Pulmonary function in asthmatics	respiratory
GWAS: Pulse pressure	cardiovascular
GWAS: Pulse pressure x alcohol consumption (light vs heavy) interaction (2df test)	cardiovascular
GWAS: Pulse pressure x alcohol consumption interaction (2df test)	cardiovascular
GWAS: Pursuit maintenance gain	skeletal muscle
GWAS: Pursuit maintenance gain in psychotic disorders	skeletal muscle
GWAS: Putamen volume	nervous
GWAS: Pyoderma gangrenosum in inflammatory bowel disease	digestive
GWAS: QRS complex (12-leadsum)	cardiovascular
GWAS: QRS complex (Cornell)	cardiovascular
GWAS: QRS duration	cardiovascular
GWAS: QRS interval (sulfonylurea treatment interaction)	cardiovascular
GWAS: QT interval	cardiovascular
GWAS: QT interval (ambient particulate matter interaction)	cardiovascular
GWAS: QT interval (drug interaction)	cardiovascular
GWAS: QT interval (sulfonylurea treatment interaction)	cardiovascular
GWAS: Quantitative traits	other
GWAS: RR interval (heart rate)	cardiovascular
GWAS: Radiation response	other
GWAS: Rapid functional decline in sporadic amyotrophic lateral sclerosis	nervous
GWAS: Reaction time	behavior
GWAS: Reading and spelling	other
GWAS: Reading disability or specific language impairment (pleiotropy)	other
GWAS: Reading disability or specific language impairment adjusted for IQ (pleiotropy)	other
GWAS: Recalcitrant atopic dermatitis	integumentary
GWAS: Recurrent major depressive disorder	behavior
GWAS: Red blood cell count	hematologic
GWAS: Red blood cell density in sickle cell anemia	hematologic
GWAS: Red blood cell fatty acid levels	hematologic
GWAS: Red blood cell traits	hematologic
GWAS: Red cell distribution width	hematologic
GWAS: Red vs. brown/black hair color	integumentary
GWAS: Refractive astigmatism	nervous
GWAS: Refractive error	nervous
GWAS: Regular attendance at a gym or sports club	behavior
GWAS: Regular attendance at a pub or social club	behavior
GWAS: Regular attendance at a religious group	behavior
GWAS: Relative hand skill in reading disability	nervous
GWAS: Remission after SSRI treatment in MDD or neuroticism	other
GWAS: Remission after SSRI treatment in MDD or openness	other
GWAS: Renal cell carcinoma	urinary
GWAS: Renal function-related traits (BUN)	urinary
GWAS: Renal function-related traits (eGRFcrea)	urinary
GWAS: Renal function-related traits (sCR)	urinary
GWAS: Renal overload gout	urinary
GWAS: Renal sinus fat	urinary
GWAS: Renal underexcretion gout	urinary
GWAS: Residual cognition	nervous
GWAS: Resistance to Mycobacterium tuberculosis in HIV+ individuals measured by a negative TST (continuous)	immune
GWAS: Resistant hypertension	cardiovascular
GWAS: Resistin levels	other
GWAS: Response to SSRI (symptom remission)	other
GWAS: Response to SSRI in MDD or openness	other
GWAS: Response to TNF antagonist treatment	other
GWAS: Response to TNF inhibitor in rheumatoid arthritis (change in swollen 28-joint count)	other
GWAS: Response to TNF inhibitor in rheumatoid arthritis (change in tender 28-joint count)	other
GWAS: Response to TNF-alpha inhibitors in rheumatoid arthritis	other
GWAS: Response to Vitamin E supplementation	other
GWAS: Response to acetaminophen (hepatotoxicity)	other
GWAS: Response to alcohol consumption (flushing response)	other
GWAS: Response to amphetamines	other
GWAS: Response to angiotensin II receptor blocker therapy	other
GWAS: Response to angiotensin II receptor blocker therapy (opposite direction w/ diuretic therapy)	other
GWAS: Response to anti-TNF therapy in rheumatoid arthritis	other
GWAS: Response to anti-depressant treatment in major depressive disorder	other
GWAS: Response to anti-retroviral therapy (ddI/d4T) in HIV-1 (Grade 1 peripheral neuropathy)	other
GWAS: Response to anti-retroviral therapy (ddI/d4T) in HIV-1 (Grade 2 peripheral neuropathy)	other
GWAS: Response to anti-retroviral therapy (ddI/d4T) in HIV-1 (Grade 3 peripheral neuropathy)	other
GWAS: Response to antidepressants	other
GWAS: Response to antidepressants (symptom improvement)	other
GWAS: Response to antidepressants (symptom remission)	other
GWAS: Response to antidepressants and depression	other
GWAS: Response to antidepressants in depression	other
GWAS: Response to antineoplastic agents	other
GWAS: Response to antipsychotic therapy (extrapyramidal side effects)	other
GWAS: Response to antipsychotic treatment	other
GWAS: Response to antipsychotic treatment in schizophrenia	other
GWAS: Response to antipsychotic treatment in schizophrenia (reasoning)	other
GWAS: Response to antipsychotic treatment in schizophrenia (working memory)	other
GWAS: Response to bronchodilator in chronic obstructive pulmonary disease (change in FEV1)	other
GWAS: Response to bupropion and depression	other
GWAS: Response to bupropion in depression	other
GWAS: Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)	other
GWAS: Response to citalopram or escitalopram and depression	other
GWAS: Response to citalopram or escitalopram in depression	other
GWAS: Response to citalopram treatment	other
GWAS: Response to cognitive-behavioural therapy in anxiety disorder	other
GWAS: Response to cyclophosphamide in systemic lupus erythematosus with lupus nephritis	other
GWAS: Response to cytadine analogues (cytosine arabinoside)	other
GWAS: Response to cytidine analogues (gemcitabine)	other
GWAS: Response to exercise (triglyceride level interaction)	other
GWAS: Response to fenofibrate	other
GWAS: Response to fenofibrate (HDL cholesterol levels)	other
GWAS: Response to fenofibrate (LDL cholesterol levels)	other
GWAS: Response to fenofibrate (adiponectin levels)	other
GWAS: Response to fenofibrate (total cholesterol levels)	other
GWAS: Response to fenofibrate (triglyceride levels)	other
GWAS: Response to haloperidol in schizophrenia	other
GWAS: Response to hepatitis B vaccine	other
GWAS: Response to hepatitis C treatment	other
GWAS: Response to iloperidone treatment (QT prolongation)	other
GWAS: Response to inhaled corticosteroid treatment in asthma (change in FEV1)	other
GWAS: Response to lithium treatment in bipolar disorder	other
GWAS: Response to n-3 LC-PUFA supplementation (change in triglyceride levels)	other
GWAS: Response to lurasidone in schizophrenia	other
GWAS: Response to mTOR inhibitor (everolimus)	other
GWAS: Response to mTOR inhibitor (rapamycin)	other
GWAS: Response to metformin (IC50)	other
GWAS: Response to methotrexate in juvenile idiopathic arthritis	other
GWAS: Response to methylphenidate treatment in ADHD (blood pressure)	other
GWAS: Response to perphenazine in schizophrenia	other
GWAS: Response to platinum-based agents	other
GWAS: Response to platinum-based chemotherapy (carboplatin)	other
GWAS: Response to platinum-based chemotherapy (cisplatin)	other
GWAS: Response to platinum-based chemotherapy in non-small-cell lung cancer	other
GWAS: Response to platinum-based neoadjuvant chemotherapy in cervical cancer	other
GWAS: Response to quetiapine in schizophrenia	other
GWAS: Response to radiotherapy in cancer (late toxicity)	other
GWAS: Response to selective serotonin reuptake inhibitors and depression	other
GWAS: Response to selective serotonin reuptake inhibitors in depression	other
GWAS: Response to serotonin reuptake inhibitors in major depressive disorder	other
GWAS: Response to serotonin reuptake inhibitors in MDD (plasma drug and metabolite levels)	other
GWAS: Response to simvastatin treatment (PCSK9 protein level change)	other
GWAS: Response to statin therapy	other
GWAS: Response to statins (LDL cholesterol change)	other
GWAS: Response to taxane treatment (docetaxel)	other
GWAS: Response to taxane treatment (placlitaxel)	other
GWAS: Response to tocilizumab in rheumatoid arthritis	other
GWAS: Response to treatment for acute lymphoblastic leukemia	other
GWAS: Response to zileuton treatment in asthma (FEV1 change interaction)	other
GWAS: Response to ziprazidone in schizophrenia	other
GWAS: Resting heart rate	cardiovascular
GWAS: Resting metabolic rate	metabolic
GWAS: Resting-state electroencephalogram vigilance	nervous
GWAS: Restless legs syndrome	nervous
GWAS: Reticulocyte count	immune
GWAS: Reticulocyte fraction of red cells	immune
GWAS: Retinal arteriolar caliber	nervous
GWAS: Retinal vascular caliber	nervous
GWAS: Retinopathy in non-diabetics	nervous
GWAS: Rhegmatogenous retinal detachment	nervous
GWAS: Rheumatoid arthritis	immune
GWAS: Rheumatoid arthritis (ACPA-negative)	immune
GWAS: Rheumatoid arthritis (ACPA-positive)	immune
GWAS: Rheumatoid arthritis (rheumatoid factor and/or anti-CCP seropositive)	immune
GWAS: Right lateral prefrontal cortical growth	nervous
GWAS: Rosacea symptom severity	integumentary
GWAS: S-phenylmercapturic acid levels in smokers	other
GWAS: Sarcoidosis	immune
GWAS: Sarcoidosis (Lofgren's syndrome vs non-Lofgren's syndrome)	immune
GWAS: Sarcoidosis (non-Lofgren's syndrome without extrapulmonary manifestations)	immune
GWAS: Scalp hair shape	integumentary
GWAS: Schizophrenia	behavior
GWAS: Schizophrenia (inflammation and infection response interaction)	behavior
GWAS: Schizophrenia (treatment resistant)	behavior
GWAS: Schizophrenia or bipolar disorder	behavior
"GWAS: Schizophrenia, bipolar disorder and depression (combined)"	behavior
"GWAS: Schizophrenia, schizoaffective disorder or bipolar disorder"	behavior
GWAS: Seasonality	behavior
GWAS: Seasonality and depression	behavior
GWAS: Seborrheic dermatitis	integumentary
GWAS: Sedentary behaviour duration	behavior
GWAS: Select biomarker traits	other
GWAS: Selective IgA deficiency	immune
GWAS: Self-rated health	immune
GWAS: Self-reported allergy	immune
GWAS: Self-reported risk-taking behaviour	behavior
GWAS: Sense of smell	nervous
GWAS: Sensory disturbances after bilateral sagittal split ramus osteotomy	nervous
GWAS: Serum 25-Hydroxyvitamin D levels	other
GWAS: Serum albumin level	other
GWAS: Serum alkaline phosphatase levels	other
GWAS: Serum bilirubin levels in metabolic syndrome	digestive
GWAS: Serum bilirubin levels x Mediterranean diet adherence interaction in metabolic syndrome	digestive
GWAS: Serum bilirubin levels x sex interaction in metabolic syndrome	digestive
GWAS: Serum folate levels	other
GWAS: Serum metabolite concentrations in chronic kidney disease	urinary
GWAS: Serum metabolite levels	metabolic
GWAS: Serum metabolite ratios in chronic kidney disease	urinary
GWAS: Serum parathyroid hormone levels	endocrine
GWAS: Serum prostate-specific antigen levels	reproductive
GWAS: Serum protein levels (sST2)	other
GWAS: Serum sulfate level	other
GWAS: Serum thyroid-stimulating hormone levels	endocrine
GWAS: Serum total cholesterol levels	metabolic
GWAS: Serum total protein level	other
GWAS: Serum urate levels in chronic kidney disease	urinary
GWAS: Serum uric acid levels	other
GWAS: Serum uric acid levels in response to allopurinol in gout	other
GWAS: Severe aortic features in Marfan syndrome	cardiovascular
GWAS: Severe gingival inflammation	immune
GWAS: Severe influenza A (H1N1) infection	immune
GWAS: Severe malaria	immune
GWAS: Severe malaria (adjusted for sickle cell variant rs334)	immune
GWAS: Severity of nausea and vomiting of pregnancy	reproductive
GWAS: Sex hormone levels	endocrine
GWAS: Sex hormone-binding globulin levels	endocrine
GWAS: Sexual dimorphism in anthropometric traits	skeletal
GWAS: Sexual dysfunction (SSRI/SNRI-related)	reproductive
GWAS: Shingles	immune
GWAS: Sickle cell anemia (haemolysis)	hematologic
GWAS: Sitting height ratio	skeletal
GWAS: Sjogren's syndrome	immune
GWAS: Skin aging (microtopography measurement)	integumentary
GWAS: Skin colour saturation	integumentary
GWAS: Skin pigmentation	integumentary
GWAS: Skin sensitivity to sun	integumentary
GWAS: Sleep duration	behavior
GWAS: Sleep quality	behavior
GWAS: Sleep traits (multi-trait analysis)	other
GWAS: Small LDL particle concentration	metabolic
GWAS: Small cell lung carcinoma	respiratory
GWAS: Small vessel stroke	cardiovascular
GWAS: Smoking behavior	behavior
GWAS: Smoking cessation in chronic obstructive pulmonary disease	respiratory
GWAS: Smoking initiation	behavior
GWAS: Smooth-surface caries	skeletal
GWAS: Social autistic-like traits	behavior
GWAS: Social communication problems	behavior
GWAS: Social science traits (pleiotropy) (HIPO component 1)	behavior
GWAS: Sodium levels	other
GWAS: Soluble interleukin-2 receptor subunit alpha	immune
GWAS: Spherical equivalent (joint analysis main effects and education interaction)	nervous
GWAS: Spherical equivalent or myopia (age of diagnosis)	nervous
GWAS: Sphingolipid levels	metabolic
GWAS: Spontaneous preterm birth (preterm birth)	reproductive
GWAS: Sporadic neuroblastoma	nervous
GWAS: Sporadic pituitary adenoma	nervous
GWAS: Squamous cell carcinoma	integumentary
GWAS: Squamous cell lung carcinoma	respiratory
GWAS: Staphylococcus aureus infection	immune
GWAS: Staphylococcus aureus nasal carriage (intermittent)	immune
GWAS: Staphylococcus aureus nasal carriage (persistent)	immune
GWAS: Stearic acid (18:0) levels	other
GWAS: Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)	integumentary
GWAS: Strenuous sports or other exercises	behavior
GWAS: Strep throat	immune
GWAS: Stroke	cardiovascular
GWAS: Stroke (ischemic)	cardiovascular
GWAS: Subclinical trait of interstitial lung disease (basilar peel-core ratio of HAA on CT scan)	respiratory
GWAS: Subcortical brain region volumes	nervous
GWAS: Subcutaneous adipose tissue	metabolic
GWAS: Subiculum volume	nervous
GWAS: Subjective response to lithium treatment	other
GWAS: Subjective response to lithium treatment in bipolar disorder	other
GWAS: Sudden cardiac arrest	cardiovascular
GWAS: Suffering from nerves	behavior
GWAS: Suicide behavior	behavior
GWAS: Suicide in bipolar disorder	behavior
GWAS: Suicide risk	behavior
GWAS: Sulfasalazine-induced agranulocytosis	hematologic
GWAS: Sum basophil neutrophil counts	hematologic
GWAS: Sum eosinophil basophil counts	hematologic
GWAS: Sum neutrophil eosinophil counts	hematologic
GWAS: Superior frontal gyrus grey matter volume	nervous
GWAS: Survival in colon cancer	other
GWAS: Survival in microsatellite instability low/stable colorectal cancer	other
GWAS: Survival in pancreatic cancer	other
GWAS: Survival in sporadic amyotrophic lateral sclerosis	other
GWAS: Susceptibility to persistent hepatitis B virus infection	immune
GWAS: Systemic juvenile idiopathic arthritis	immune
GWAS: Systemic lupus erythematosus	immune
GWAS: Systemic lupus erythematosus and Systemic sclerosis	immune
GWAS: Systemic lupus erythematosus or rheumatoid arthritis	immune
GWAS: Systemic sclerosis	other
GWAS: Systemic sclerosis (anti-centromere-positive)	other
GWAS: Systemic sclerosis (anti-topoisomerase-positive)	other
GWAS: Systolic blood pressure	cardiovascular
GWAS: Systolic blood pressure (alcohol consumption interaction)	cardiovascular
GWAS: Systolic blood pressure (cigarette smoking interaction)	cardiovascular
GWAS: Systolic blood pressure change trajectories	cardiovascular
GWAS: Systolic blood pressure in sickle cell anemia	cardiovascular
GWAS: Systolic blood pressure response to hydrochlorothiazide in hypertension	cardiovascular
GWAS: Systolic blood pressure x alcohol consumption (light vs heavy) interaction (2df test)	cardiovascular
GWAS: Systolic blood pressure x alcohol consumption interaction (2df test)	cardiovascular
GWAS: Systolic blood pressure x smoking status (current vs non-current) interaction (1df test)	cardiovascular
GWAS: Systolic blood pressure x smoking status (current vs non-current) interaction (2df test)	cardiovascular
GWAS: Systolic blood pressure x smoking status (ever vs never) interaction (2df test)	cardiovascular
GWAS: TB-LM or TBLH-BMD (pleiotropy)	skeletal muscle
GWAS: Tacrolimus trough concentration in kidney transplant patients	immune
GWAS: Takayasu arteritis	cardiovascular
GWAS: Tandem gait	skeletal muscle
GWAS: Tanning	integumentary
GWAS: Telomere length	other
GWAS: Temperament	behavior
GWAS: Temperament (bipolar disorder)	behavior
GWAS: Temporomandibular joint disorder	skeletal muscle
GWAS: Tenofovir clearance in HIV infection	other
GWAS: Testicular germ cell cancer	reproductive
GWAS: Testicular germ cell tumor	reproductive
GWAS: Thiazide-induced adverse metabolic effects in hypertensive patients	other
GWAS: Thiopurine-induced alopecia in inflammatory bowel disease	other
GWAS: Thiopurine-induced leukopenia in inflammatory bowel disease	other
GWAS: Thrombin-activatable fibrinolysis inhibitor activation peptide	hematologic
GWAS: Thrombin-activatable fibrinolysis inhibitor levels	hematologic
GWAS: Thrombosis	hematologic
GWAS: Thyroid cancer	endocrine
"GWAS: Thyroid cancer (Papillary, radiation-related)"	endocrine
GWAS: Thyroid function	endocrine
GWAS: Thyroid hormone levels	endocrine
GWAS: Thyroid peroxidase antibody levels	endocrine
GWAS: Thyroid peroxidase antibody positivity	endocrine
GWAS: Thyroid stimulating hormone	endocrine
GWAS: Ticagrelor levels in individuals with acute coronary syndromes treated with ticagrelor	hematologic
GWAS: Time-dependent creatinine clearance change response to tenofovir treatment in HIV infection	skeletal muscle
GWAS: Toenail selenium levels	other
GWAS: Tonometry	nervous
GWAS: Tonsillectomy	lymphatic
GWAS: Tooth agenesis	skeletal
GWAS: Total bilirubin levels	digestive
GWAS: Total bilirubin levels in HIV-1 infection	digestive
GWAS: Total body bone mineral density	skeletal
GWAS: Total cholesterol change in response to fenofibrate in statin-treated type 2 diabetes	metabolic
GWAS: Total cholesterol levels	metabolic
GWAS: Total cholesterol levels in HDL	metabolic
GWAS: Total cholesterol levels in LDL	metabolic
GWAS: Total cholesterol levels in large LDL	metabolic
GWAS: Total cholesterol levels in medium LDL	metabolic
GWAS: Total cholesterol levels in small LDL	metabolic
GWAS: Total hippocampal volume	nervous
GWAS: Total ventricular volume	cardiovascular
GWAS: Total ventricular volume (Alzheimer's disease interaction)	cardiovascular
GWAS: Tourette syndrome	behavior
GWAS: Tourette's syndrome or obsessive-compulsive disorder	behavior
GWAS: Treatment response for severe sepsis	other
GWAS: Triglyceride change in response to fenofibrate in statin-treated type 2 diabetes	metabolic
GWAS: Triglyceride levels	metabolic
GWAS: Triglycerides	metabolic
GWAS: Triglycerides-Blood Pressure (TG-BP)	metabolic
GWAS: Triptolide cytotoxicity	other
GWAS: Tuberculosis	immune
GWAS: Tuberculosis (SNP x SNP interaction)	immune
GWAS: Tumor biomarkers	immune
GWAS: Two-hour glucose challenge	metabolic
GWAS: Type 1 diabetes	metabolic
GWAS: Type 1 diabetes and autoimmune thyroid diseases	metabolic
GWAS: Type 1 diabetes autoantibodies in high risk HLA genotype individuals (time to event)	metabolic
GWAS: Type 1 diabetes in high risk HLA genotype individuals (time to event)	metabolic
GWAS: Type 1 diabetes nephropathy	metabolic
GWAS: Type 2 diabetes	metabolic
"GWAS: Type 2 diabetes (SNP x SNP interaction, 1df)"	metabolic
"GWAS: Type 2 diabetes (SNP x SNP interaction, 2df)"	metabolic
GWAS: Type 2 diabetes (age of onset)	metabolic
GWAS: Type 2 diabetes (dietary heme iron intake interaction)	metabolic
GWAS: Type 2 diabetes and other traits	metabolic
GWAS: Type 2 diabetes nephropathy	metabolic
GWAS: Type 2 diabetes nephropathy including microalbuminuria	metabolic
GWAS: Ulcerative colitis	digestive
GWAS: Ulna and radius bone mineral density	skeletal
GWAS: Upper eyelid morphology	integumentary
GWAS: Upper eyelid sagging severity	integumentary
GWAS: Urate levels	metabolic
GWAS: Urate levels (BMI interaction)	metabolic
GWAS: Urate levels in lean individuals	metabolic
GWAS: Urate levels in obese individuals	metabolic
GWAS: Urate levels in overweight individuals	metabolic
GWAS: Uric acid levels	metabolic
GWAS: Urinary albumin excretion	metabolic
GWAS: Urinary albumin excretion (no hypertensive medication)	metabolic
GWAS: Urinary albumin-to-creatinine ratio	metabolic
GWAS: Urinary albumin-to-creatinine ratio in non-diabetics	metabolic
GWAS: Urinary bladder cancer	metabolic
GWAS: Urinary magnesium-to-creatinine ratio	metabolic
GWAS: Urinary metabolite concentrations in chronic kidney disease	metabolic
GWAS: Urinary metabolite ratios in chronic kidney disease	metabolic
GWAS: Urinary metabolites	metabolic
GWAS: Urinary metabolites (H-NMR features)	metabolic
GWAS: Uterine fibroid number (single vs multiple)	reproductive
GWAS: Uterine fibroid size (maximum dimension)	reproductive
GWAS: Uterine fibroid size (maximum volume)	reproductive
GWAS: Uterine fibroids	reproductive
GWAS: Vascular brain injury	cardiovascular
GWAS: Vascular endothelial growth factor levels	other
GWAS: Vein graft stenosis in coronary artery bypass grafting	cardiovascular
GWAS: Venous thromboembolism	hematologic
GWAS: Venous thromboembolism adjusted for sickle cell variant rs77121243-T	hematologic
GWAS: Verbal declarative memory	nervous
GWAS: Vertical cup-disc ratio	nervous
GWAS: Very long-chain saturated fatty acid levels (fatty acid 20:0)	metabolic
GWAS: Very long-chain saturated fatty acid levels (fatty acid 22:0)	metabolic
GWAS: Vestibular neuritis	nervous
GWAS: Vigorous physical activity	behavior
GWAS: Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	nervous
GWAS: Virologic severity in Herpes simplex virus type 2 infection	immune
GWAS: Visceral adipose tissue	metabolic
GWAS: Visceral adipose tissue adjusted for BMI	metabolic
GWAS: Visceral adipose tissue/subcutaneous adipose tissue ratio	metabolic
GWAS: Visceral fat	metabolic
