HPO_term	system
HPO: Adrenal hypoplasia (HP:0000835)	endocrine
HPO: Gonadotropin excess (HP:0000837)	endocrine
HPO: Hyperthyroidism (HP:0000836)	endocrine
HPO: Large for gestational age (HP:0001520)	other
HPO: Death in infancy (HP:0001522)	other
HPO: Shallow orbits (HP:0000586)	skeletal
HPO: Abnormality of Sharpey fibers (HP:0100685)	skeletal muscle
HPO: Distal arthrogryposis (HP:0005684)	skeletal muscle
HPO: Abnormality of the salivary glands (HP:0010286)	digestive
HPO: Stomatitis (HP:0010280)	other
HPO: Aplasia/Hypoplasia of the thymus (HP:0010515)	lymphatic
HPO: Aplasia/Hypoplasia of the 4th metacarpal (HP:0010042)	skeletal
HPO: Short 4th metacarpal (HP:0010044)	skeletal
HPO: Long toe (HP:0010511)	skeletal
HPO: High forehead (HP:0000348)	skeletal
HPO: Wrist flexion contracture (HP:0001239)	skeletal
HPO: Long philtrum (HP:0000343)	integumentary
HPO: Narrow forehead (HP:0000341)	skeletal
HPO: Sloping forehead (HP:0000340)	skeletal
HPO: Abnormality of the fingernails (HP:0001231)	integumentary
HPO: Hypoplasia of the uterus (HP:0000013)	reproductive
HPO: Urinary urgency (HP:0000012)	urinary
HPO: Recurrent urinary tract infections (HP:0000010)	immune
HPO: Bladder diverticulum (HP:0000015)	urinary
HPO: Scapular winging (HP:0003691)	skeletal
HPO: Rocker bottom foot (HP:0001838)	skeletal
HPO: Split foot (HP:0001839)	skeletal
HPO: Long foot (HP:0001833)	skeletal
HPO: Postaxial foot polydactyly (HP:0001830)	skeletal
HPO: Camptodactyly of toe (HP:0001836)	skeletal
HPO: Broad toe (HP:0001837)	skeletal
HPO: Skin tags (HP:0010609)	integumentary
HPO: Progressive macrocephaly (HP:0004481)	skeletal
HPO: Relative macrocephaly (HP:0004482)	skeletal
HPO: Neoplasm of the lung (HP:0100526)	respiratory
HPO: Abnormality of complement system (HP:0005339)	immune
HPO: Sparse lateral eyebrow (HP:0005338)	integumentary
HPO: Renal salt wasting (HP:0000127)	urinary
HPO: Hydronephrosis (HP:0000126)	urinary
HPO: Renal tubular dysfunction (HP:0000124)	urinary
HPO: Nephritis (HP:0000123)	urinary
HPO: Unilateral renal agenesis (HP:0000122)	urinary
HPO: Nephrocalcinosis (HP:0000121)	urinary
"HPO: Intellectual disability, severe (HP:0010864)"	nervous
HPO: IgG deficiency (HP:0004315)	immune
HPO: Paralysis (HP:0003470)	nervous
HPO: Intestinal polyposis (HP:0200008)	digestive
HPO: Abnormality of reticulocytes (HP:0004312)	immune
HPO: Fatigable weakness (HP:0003473)	skeletal muscle
HPO: Vitreoretinal degeneration (HP:0000655)	nervous
HPO: Decreased electroretinogram (ERG) amplitude (HP:0000654)	nervous
HPO: Oculomotor apraxia (HP:0000657)	nervous
HPO: Ectropion (HP:0000656)	nervous
HPO: Diplopia (HP:0000651)	nervous
HPO: Sparse eyelashes (HP:0000653)	integumentary
HPO: Exertional dyspnea (HP:0002875)	respiratory
HPO: Obstructive sleep apnea (HP:0002870)	behavior
HPO: Respiratory failure (HP:0002878)	respiratory
HPO: Progressive inability to walk (HP:0002505)	other
HPO: Morphological abnormality of the inner ear (HP:0011390)	nervous
HPO: Limb hypertonia (HP:0002509)	skeletal muscle
HPO: Embryonal neoplasm (HP:0002898)	other
HPO: Hyperphosphaturia (HP:0003109)	urinary
HPO: Uterine leiomyosarcoma (HP:0002891)	reproductive
HPO: Thyroid carcinoma (HP:0002890)	endocrine
HPO: Papillary thyroid carcinoma (HP:0002895)	endocrine
HPO: Abnormality of aromatic amino acid family metabolism (HP:0004338)	metabolic
HPO: Neoplasm of the liver (HP:0002896)	digestive
HPO: Abnormality of sulfur amino acid metabolism (HP:0004339)	metabolic
HPO: Hip contracture (HP:0003273)	skeletal muscle
HPO: Abdominal distention (HP:0003270)	other
HPO: Anal stenosis (HP:0002025)	digestive
HPO: Abnormality of mucopolysaccharide metabolism (HP:0011020)	metabolic
HPO: Gastroesophageal reflux (HP:0002020)	digestive
HPO: Slender long bone (HP:0003100)	skeletal
HPO: Albinism (HP:0001022)	integumentary
"HPO: Primitive reflexes (palmomental, snout, glabellar) (HP:0002476)"	nervous
HPO: Myelomeningocele (HP:0002475)	nervous
HPO: Restrictive lung disease (HP:0002091)	respiratory
HPO: Pulmonary hypertension (HP:0002092)	cardiovascular
HPO: Emphysema (HP:0002097)	respiratory
HPO: Asthma (HP:0002099)	respiratory
HPO: Respiratory distress (HP:0002098)	respiratory
HPO: Cervical subluxation (HP:0003308)	skeletal
HPO: Spondylolisthesis (HP:0003302)	skeletal
HPO: Ovoid vertebral bodies (HP:0003300)	skeletal
HPO: Irregular vertebral endplates (HP:0003301)	skeletal
HPO: Spinal rigidity (HP:0003306)	skeletal
HPO: Methylmalonic aciduria (HP:0012120)	urinary
HPO: Stomach cancer (HP:0012126)	digestive
HPO: Epiphyseal dysplasia (HP:0002656)	skeletal
HPO: Bone pain (HP:0002653)	skeletal
HPO: Abnormal pupillary function (HP:0007686)	nervous
HPO: Osteolytic defects of the hand bones (HP:0009699)	skeletal
HPO: Absent rod-and cone-mediated responses on ERG (HP:0007688)	nervous
HPO: Rhinitis (HP:0012384)	respiratory
HPO: Bronchitis (HP:0012387)	respiratory
HPO: Opacification of the corneal stroma (HP:0007759)	nervous
HPO: Muscle fiber cytoplasmatic inclusion bodies (HP:0100303)	skeletal muscle
HPO: Hypoplasia of the fovea (HP:0007750)	nervous
HPO: Neonatal short-limb short stature (HP:0008921)	skeletal
HPO: Impaired social interactions (HP:0000735)	behavior
HPO: Retinal dysplasia (HP:0007973)	nervous
HPO: Brachydactyly syndrome (HP:0001156)	skeletal
HPO: Prolonged neonatal jaundice (HP:0006579)	digestive
HPO: Subacute progressive viral hepatitis (HP:0006572)	immune
HPO: Symptomatic seizures (HP:0011145)	nervous
HPO: Atrophy/Degeneration involving motor neurons (HP:0007373)	nervous
HPO: Atrophy/Degeneration involving the corticospinal tracts (HP:0007372)	nervous
HPO: Nuclear cataract (HP:0100018)	nervous
HPO: Abnormality of the septum pellucidum (HP:0007375)	nervous
HPO: Abnormal large intestine physiology (HP:0012700)	digestive
HPO: Abnormal respiratory epithelium morphology (HP:0012253)	respiratory
HPO: Dynein arm defect of respiratory motile cilia (HP:0012255)	respiratory
HPO: Abnormality of monocarboxylic acid metabolism (HP:0010996)	metabolic
"HPO: Intellectual disability, progressive (HP:0006887)"	nervous
HPO: Chondrocalcinosis (HP:0000934)	skeletal
HPO: Osteopenia (HP:0000938)	skeletal
HPO: Osteoporosis (HP:0000939)	skeletal
HPO: Small hand (HP:0200055)	skeletal
HPO: Plagiocephaly (HP:0001357)	skeletal
HPO: Megalencephaly (HP:0001355)	nervous
HPO: Coarctation of aorta (HP:0001680)	cardiovascular
HPO: Subaortic stenosis (HP:0001682)	cardiovascular
HPO: Methylmalonic acidemia (HP:0002912)	metabolic
HPO: Omphalocele (HP:0001539)	other
HPO: Renal cortical cysts (HP:0000803)	urinary
HPO: Umbilical hernia (HP:0001537)	reproductive
HPO: Slender build (HP:0001533)	other
HPO: Failure to thrive in infancy (HP:0001531)	other
HPO: Abnormality of the vitamin B12 metabolism (HP:0004341)	metabolic
HPO: Trigonocephaly (HP:0000243)	skeletal
HPO: Brachycephaly (HP:0000248)	skeletal
HPO: Neoplasm of the small intestine (HP:0100833)	digestive
HPO: Round ear (HP:0100830)	other
HPO: Malignant neoplasm of the central nervous system (HP:0100836)	nervous
HPO: Benign neoplasm of the central nervous system (HP:0100835)	nervous
HPO: Prominent supraorbital ridges (HP:0000336)	skeletal
HPO: Broad forehead (HP:0000337)	skeletal
HPO: Short chin (HP:0000331)	skeletal
HPO: Labial hypoplasia (HP:0000066)	reproductive
HPO: Urethral obstruction (HP:0000796)	urinary
HPO: Hematuria (HP:0000790)	urinary
HPO: Decreased activity of cytochrome C oxidase in muscle tissue (HP:0003688)	skeletal muscle
HPO: Centrally nucleated skeletal muscle fibers (HP:0003687)	skeletal muscle
HPO: Nonprogressive disorder (HP:0003680)	other
HPO: Insomnia (HP:0100785)	behavior
HPO: Prostate neoplasm (HP:0100787)	reproductive
HPO: Conjunctival hamartoma (HP:0100780)	skeletal muscle
HPO: Breast aplasia (HP:0100783)	reproductive
HPO: Craniofacial hyperostosis (HP:0004493)	skeletal
HPO: Widely patent fontanelles and sutures (HP:0004492)	skeletal
HPO: Hallux valgus (HP:0001822)	skeletal
HPO: Weight loss (HP:0001824)	metabolic
HPO: Genital tract atresia (HP:0001827)	reproductive
HPO: Abnormal rod and cone electroretinograms (HP:0008323)	nervous
HPO: Midline defect of the nose (HP:0004122)	other
HPO: Abnormal foot bone ossification (HP:0010675)	skeletal
HPO: Microcornea (HP:0000482)	nervous
HPO: Astigmatism (HP:0000483)	nervous
HPO: Megalocornea (HP:0000485)	nervous
HPO: Retinopathy (HP:0000488)	nervous
HPO: Capillary hemangiomas (HP:0005306)	cardiovascular
HPO: Hypodontia (HP:0000668)	skeletal
HPO: Abnormality of the endocardium (HP:0004306)	cardiovascular
HPO: Glossoptosis (HP:0000162)	other
HPO: Ventricular arrhythmia (HP:0004308)	cardiovascular
HPO: Synophrys (HP:0000664)	integumentary
HPO: Horizontal nystagmus (HP:0000666)	nervous
HPO: Atonic seizures (HP:0010819)	nervous
HPO: Neck muscle weakness (HP:0000467)	skeletal muscle
HPO: Webbed neck (HP:0000465)	integumentary
HPO: Cellulitis (HP:0100658)	integumentary
HPO: Optic neuritis (HP:0100653)	nervous
HPO: Type I diabetes mellitus (HP:0100651)	metabolic
HPO: Retrobulbar optic neuritis (HP:0100654)	nervous
HPO: Hypergammaglobulinemia (HP:0010702)	immune
HPO: Ulnar deviation of the wrist (HP:0003049)	skeletal
"HPO: Congenital, generalized hypertrichosis (HP:0004540)"	integumentary
HPO: Poor coordination (HP:0002370)	nervous
HPO: Increased connective tissue (HP:0009025)	other
HPO: Arthropathy (HP:0003040)	skeletal
HPO: Foot dorsiflexor weakness (HP:0009027)	skeletal muscle
HPO: Clumsiness (HP:0002312)	behavior
HPO: Spastic paraparesis (HP:0002313)	skeletal muscle
HPO: Unsteady gait (HP:0002317)	other
HPO: Degeneration of the lateral corticospinal tracts (HP:0002314)	nervous
HPO: Zonular cataract (HP:0010920)	nervous
HPO: Abnormality of calcium-phosphate metabolism (HP:0100530)	metabolic
HPO: Periorbital edema (HP:0100539)	other
HPO: Abnormality of renal resorption (HP:0011038)	urinary
HPO: Abnormality of renal excretion (HP:0011036)	urinary
HPO: Abnormality of the renal cortex (HP:0011035)	urinary
HPO: Amyloidosis (HP:0011034)	other
HPO: Abnormality of iron homeostasis (HP:0011031)	other
HPO: Abnormality of transition element cation homeostasis (HP:0011030)	other
HPO: Ridged nail (HP:0001807)	integumentary
HPO: Increased cerebral lipofuscin (HP:0011813)	other
HPO: Woolly hair (HP:0002224)	integumentary
HPO: Absent eyebrow (HP:0002223)	integumentary
HPO: Hypoplasia of the odontoid process (HP:0003311)	skeletal
HPO: Abnormality of the odontoid process (HP:0003310)	skeletal
HPO: Abnormal number of erythroid precursors (HP:0012131)	hematologic
HPO: Abnormality of cells of the erythroid lineage (HP:0012130)	hematologic
HPO: Congenital malformation of the right heart (HP:0011723)	cardiovascular
HPO: Porencephaly (HP:0002132)	nervous
HPO: Status epilepticus (HP:0002133)	nervous
HPO: Broad-based gait (HP:0002136)	other
HPO: Abnormality of the basal ganglia (HP:0002134)	nervous
HPO: Basal ganglia calcification (HP:0002135)	nervous
HPO: Flexion contracture of toe (HP:0005830)	skeletal muscle
HPO: Cerebral inclusion bodies (HP:0100314)	nervous
HPO: Termporal pattern (HP:0011008)	other
HPO: Acute necrotizing encephalopathy (HP:0006965)	nervous
HPO: Posterior subcapsular cataract (HP:0007787)	nervous
HPO: Increased hepatocellular lipid droplets (HP:0006565)	metabolic
HPO: Lipid accumulation in hepatocytes (HP:0006561)	metabolic
HPO: Viral hepatitis (HP:0006562)	immune
HPO: CNS demyelination (HP:0007305)	nervous
HPO: Neoplasm of the peripheral nervous system (HP:0100007)	nervous
HPO: Increased intramyocellular lipid droplets (HP:0012240)	metabolic
HPO: Sex reversal (HP:0012245)	other
HPO: Abnormal sex determination (HP:0012244)	reproductive
HPO: Abnormality of the antihelix (HP:0009738)	other
HPO: Platyspondyly (HP:0000926)	skeletal
HPO: Missing ribs (HP:0000921)	skeletal
HPO: Cerebral aneurysm (HP:0004944)	nervous
HPO: Specific learning disability (HP:0001328)	other
HPO: Aortic aneurysm (HP:0004942)	cardiovascular
HPO: Hypoglycemic coma (HP:0001325)	metabolic
HPO: Vascular tortuosity (HP:0004948)	cardiovascular
HPO: Hypermetropia (HP:0000540)	nervous
HPO: Abnormal finger flexion creases (HP:0006143)	integumentary
HPO: Premature loss of primary teeth (HP:0006323)	skeletal
HPO: Hypoglycemic seizures (HP:0002173)	metabolic
HPO: Acute myeloid leukemia (HP:0004808)	lymphatic
HPO: Poor eye contact (HP:0000817)	nervous
HPO: Hypergonadotropic hypogonadism (HP:0000815)	endocrine
HPO: Synostosis of carpal bones (HP:0005048)	skeletal
HPO: Fragile skin (HP:0001030)	integumentary
HPO: Premature rupture of membranes (HP:0001788)	reproductive
HPO: Hypermelanotic macule (HP:0001034)	integumentary
HPO: Abnormal delivery (HP:0001787)	reproductive
HPO: Broad metatarsal (HP:0001783)	skeletal
HPO: Progressive microcephaly (HP:0000253)	nervous
HPO: Glomerulopathy (HP:0100820)	urinary
HPO: Cheilitis (HP:0100825)	other
HPO: Abnormality of macular pigmentation (HP:0008002)	integumentary
HPO: Short 5th finger (HP:0009237)	skeletal
HPO: Bowel diverticulosis (HP:0005222)	digestive
"HPO: Intellectual disability, mild (HP:0001256)"	nervous
HPO: Lethargy (HP:0001254)	behavior
HPO: Facial hemangioma (HP:0000329)	cardiovascular
HPO: Triangular face (HP:0000325)	other
HPO: Facial asymmetry (HP:0000324)	other
HPO: Hypoplasia of the maxilla (HP:0000327)	skeletal
HPO: Spastic paraplegia (HP:0001258)	nervous
HPO: Short philtrum (HP:0000322)	integumentary
HPO: Renal duplication (HP:0000075)	urinary
HPO: Abnormality of the metopic suture (HP:0005556)	skeletal
HPO: Ureteral stenosis (HP:0000071)	urinary
HPO: Slow progression (HP:0003677)	other
HPO: Ureteral duplication (HP:0000073)	urinary
HPO: Hydroureter (HP:0000072)	urinary
HPO: Rapidly progressive (HP:0003678)	other
HPO: Orchitis (HP:0100796)	reproductive
HPO: Abnormal mitochondria in muscle tissue (HP:0008316)	skeletal muscle
HPO: Cheekbone underdevelopment (HP:0010669)	skeletal
HPO: Abnormal hand bone ossification (HP:0010660)	skeletal
HPO: Abnormality of the diencephalon (HP:0010662)	nervous
HPO: Recurrent corneal erosions (HP:0000495)	nervous
HPO: Downslanted palpebral fissures (HP:0000494)	integumentary
HPO: Abnormality of the fovea (HP:0000493)	nervous
HPO: Keratitis (HP:0000491)	nervous
HPO: Deeply set eye (HP:0000490)	nervous
HPO: Blepharitis (HP:0000498)	nervous
HPO: Neuroblastic tumors (HP:0004376)	nervous
HPO: Tented upper lip vermilion (HP:0010804)	integumentary
HPO: Focal dystonia (HP:0004373)	nervous
HPO: Taurodontia (HP:0000679)	skeletal
HPO: Abnormality of glycosaminoglycan metabolism (HP:0004371)	metabolic
HPO: Oligodontia (HP:0000677)	skeletal
HPO: Abnormality of the incisor (HP:0000676)	skeletal
HPO: Protruding tongue (HP:0010808)	other
HPO: Back pain (HP:0003418)	skeletal
HPO: Carious teeth (HP:0000670)	skeletal
HPO: Excessive salivation (HP:0003781)	digestive
HPO: Short neck (HP:0000470)	skeletal
HPO: Torticollis (HP:0000473)	skeletal
HPO: Cerebral edema (HP:0002181)	nervous
HPO: Cystic hygroma (HP:0000476)	nervous
HPO: Neoplasm of the oral cavity (HP:0100649)	other
HPO: Neoplasm of the adrenal cortex (HP:0100641)	endocrine
HPO: Abnormality of nail color (HP:0100643)	integumentary
HPO: Abnormality of abdominal situs (HP:0011620)	cardiovascular
HPO: Thyroiditis (HP:0100646)	endocrine
HPO: Increased IgM level (HP:0003496)	immune
HPO: Hypercalcemia (HP:0003072)	other
HPO: Hypoalbuminemia (HP:0003073)	other
HPO: Hyperglycemia (HP:0003074)	metabolic
HPO: Hypoproteinemia (HP:0003075)	other
HPO: Glycosuria (HP:0003076)	urinary
HPO: Nephrolithiasis (HP:0000787)	urinary
HPO: Primary amenorrhea (HP:0000786)	reproductive
HPO: Hemiplegia (HP:0002301)	nervous
HPO: Mutism (HP:0002300)	nervous
HPO: Clinodactyly of the 5th finger (HP:0004209)	skeletal
HPO: Athetosis (HP:0002305)	nervous
HPO: Akinesia (HP:0002304)	nervous
HPO: Drooling (HP:0002307)	other
HPO: Abnormality of sodium homeostasis (HP:0010931)	other
HPO: Male infertility (HP:0003251)	reproductive
HPO: Disproportionate short-trunk short stature (HP:0003521)	skeletal
HPO: Abnormality of DNA repair (HP:0003254)	other
HPO: Hypoplasia of the capital femoral epiphysis (HP:0003090)	skeletal
HPO: Vertebral fusion (HP:0002948)	skeletal
HPO: Tachypnea (HP:0002789)	respiratory
HPO: Bronchomalacia (HP:0002780)	respiratory
HPO: Recurrent lower respiratory tract infections (HP:0002783)	immune
HPO: Molar tooth sign on MRI (HP:0002419)	nervous
HPO: Abnormality of midbrain morphology (HP:0002418)	nervous
HPO: Leukodystrophy (HP:0002415)	nervous
HPO: Myokymia (HP:0002411)	nervous
HPO: Aqueductal stenosis (HP:0002410)	nervous
HPO: Abnormal hair laboratory examination (HP:0003328)	integumentary
HPO: Generalized muscle weakness (HP:0003324)	skeletal muscle
HPO: Limb-girdle muscle weakness (HP:0003325)	skeletal muscle
HPO: Metaphyseal dysplasia (HP:0100255)	skeletal
HPO: Progressive muscle weakness (HP:0003323)	skeletal muscle
HPO: Camptodactyly of finger (HP:0100490)	skeletal
HPO: Joint contractures involving the joints of the feet (HP:0100492)	skeletal
HPO: Protuberant abdomen (HP:0001538)	metabolic
HPO: Abnormality of the level of lipoprotein cholesterol (HP:0010979)	metabolic
HPO: Abnormality of the middle phalanges of the hand (HP:0009833)	skeletal
HPO: Broad distal phalanx of finger (HP:0009836)	skeletal
HPO: Abnormality of the proximal phalanges of the hand (HP:0009834)	skeletal
HPO: Absence seizures (HP:0002121)	nervous
HPO: Cerebral cortical atrophy (HP:0002120)	nervous
HPO: Generalized myoclonic seizures (HP:0002123)	nervous
HPO: Upper motor neuron abnormality (HP:0002127)	nervous
HPO: Polymicrogyria (HP:0002126)	nervous
HPO: Abnormality of the foot musculature (HP:0001436)	skeletal muscle
HPO: Impaired smooth pursuit (HP:0007772)	nervous
HPO: Abnormality of endocrine pancreas physiology (HP:0012093)	digestive
HPO: Abnormal pancreas size (HP:0012094)	digestive
HPO: Waddling gait (HP:0002515)	other
HPO: Abnormality of proline metabolism (HP:0010907)	metabolic
HPO: Abnormal auditory evoked potentials (HP:0006958)	nervous
HPO: Acute hepatic failure (HP:0006554)	digestive
HPO: Respiratory insufficiency due to defective ciliary clearance (HP:0200073)	respiratory
HPO: Aplasia/Hypoplasia of the phalanges of the thumb (HP:0009658)	skeletal
HPO: Lissencephaly (HP:0001339)	nervous
HPO: Partial agenesis of the corpus callosum (HP:0001338)	nervous
HPO: Myoclonus (HP:0001336)	nervous
HPO: Absent septum pellucidum (HP:0001331)	nervous
HPO: Abnormality of ocular smooth pursuit (HP:0000617)	nervous
HPO: Secondary amenorrhea (HP:0000869)	reproductive
HPO: Nonimmune hydrops fetalis (HP:0001790)	other
HPO: Urticaria (HP:0001025)	immune
HPO: Peripheral hypomyelination (HP:0007182)	nervous
HPO: Poikiloderma (HP:0001029)	integumentary
HPO: Short nail (HP:0001799)	integumentary
HPO: Anonychia (HP:0001798)	integumentary
HPO: Wide anterior fontanel (HP:0000260)	skeletal
HPO: Turricephaly (HP:0000262)	skeletal
HPO: Dolichocephaly (HP:0000268)	skeletal
HPO: Prominent occiput (HP:0000269)	skeletal
HPO: Renovascular hypertension (HP:0100817)	cardiovascular
HPO: Abnormality of the 4th metacarpal (HP:0010012)	skeletal
HPO: Intestinal fistula (HP:0100819)	digestive
HPO: Round face (HP:0000311)	skeletal
HPO: Hypertelorism (HP:0000316)	skeletal
HPO: Smooth philtrum (HP:0000319)	integumentary
HPO: Calcaneovalgus deformity (HP:0001848)	skeletal
HPO: Hypoplastic toenails (HP:0001800)	integumentary
HPO: Steatorrhea (HP:0002570)	metabolic
HPO: Onycholysis (HP:0001806)	integumentary
HPO: Thick nail (HP:0001805)	integumentary
HPO: Fragile nails (HP:0001808)	integumentary
HPO: Abnormality of pain sensation (HP:0010832)	nervous
HPO: Epiphyseal stippling (HP:0010655)	skeletal
HPO: Abnormal epiphyseal ossification (HP:0010656)	skeletal
HPO: Abnormality of glycolysis (HP:0004366)	metabolic
HPO: Paresthesia (HP:0003401)	nervous
HPO: Widely spaced teeth (HP:0000687)	skeletal
HPO: Delayed eruption of teeth (HP:0000684)	skeletal
HPO: White forelock (HP:0002211)	integumentary
HPO: Dental malocclusion (HP:0000689)	skeletal
HPO: Increased purine levels (HP:0004368)	other
HPO: Limb-girdle muscle atrophy (HP:0003797)	skeletal muscle
HPO: Prominent nose (HP:0000448)	skeletal
HPO: Convex nasal ridge (HP:0000444)	skeletal
HPO: Wide nose (HP:0000445)	skeletal
HPO: Narrow nasal bridge (HP:0000446)	skeletal
HPO: Nemaline bodies (HP:0003798)	skeletal muscle
HPO: Premature skin wrinkling (HP:0100678)	integumentary
HPO: Lack of skin elasticity (HP:0100679)	integumentary
HPO: Rough bone trabeculation (HP:0100670)	skeletal
HPO: Abnormal trabecular bone morphology (HP:0100671)	skeletal
HPO: Bifid scrotum (HP:0000048)	reproductive
HPO: Shawl scrotum (HP:0000049)	reproductive
HPO: Long clavicles (HP:0000890)	skeletal
HPO: Abnormality of the humerus (HP:0003063)	skeletal
HPO: Abnormal hair whorl (HP:0010721)	integumentary
HPO: Cone-shaped epiphyses of the phalanges of the hand (HP:0010230)	skeletal
HPO: Enlarged penis (HP:0000040)	reproductive
HPO: Beaking of vertebral bodies (HP:0004568)	skeletal
HPO: Hypogonadotrophic hypogonadism (HP:0000044)	endocrine
HPO: Scrotal hypoplasia (HP:0000046)	reproductive
HPO: Hypospadias (HP:0000047)	urinary
HPO: Abnormality of the middle phalanx of the 5th finger (HP:0004219)	skeletal
HPO: Pulmonary embolism (HP:0002204)	respiratory
HPO: Abnormality of the phalanges of the 5th finger (HP:0004213)	skeletal
HPO: Short clavicles (HP:0000894)	skeletal
HPO: 3-Methylglutaconic aciduria (HP:0003535)	metabolic
HPO: Abnormality of methionine metabolism (HP:0010901)	metabolic
HPO: Abnormality of glutamine family amino acid metabolism (HP:0010902)	metabolic
HPO: Pulmonary fibrosis (HP:0002206)	respiratory
HPO: Hydroxyprolinuria (HP:0003080)	other
HPO: Dislocated radial head (HP:0003083)	skeletal
HPO: Poor head control (HP:0002421)	nervous
HPO: Distal sensory impairment (HP:0002936)	nervous
HPO: Hemivertebrae (HP:0002937)	skeletal
HPO: Impaired proprioception (HP:0010831)	nervous
HPO: Lumbar hyperlordosis (HP:0002938)	skeletal
HPO: Hydrocephalus (HP:0000238)	nervous
HPO: Abnormality of T cell number (HP:0011839)	immune
HPO: Coarse hair (HP:0002208)	integumentary
HPO: Sparse scalp hair (HP:0002209)	integumentary
HPO: Osteoarthritis (HP:0002758)	skeletal
HPO: Pseudobulbar signs (HP:0002200)	behavior
HPO: Thin bony cortex (HP:0002753)	skeletal
HPO: Delayed skeletal maturation (HP:0002750)	skeletal
HPO: Kyphoscoliosis (HP:0002751)	skeletal
HPO: Pathologic fracture (HP:0002756)	skeletal
HPO: Recurrent fractures (HP:0002757)	skeletal
HPO: Osteomyelitis (HP:0002754)	skeletal
HPO: Sensorimotor neuropathy (HP:0007141)	nervous
HPO: Distal upper limb amyotrophy (HP:0007149)	nervous
HPO: Abnormal spermatogenesis (HP:0008669)	reproductive
HPO: Leiomyosarcoma (HP:0100243)	skeletal muscle
HPO: Hypoplastic pelvis (HP:0008839)	skeletal
HPO: Thickened calvaria (HP:0002684)	skeletal
HPO: Prenatal maternal abnormality (HP:0002686)	reproductive
HPO: Abnormality of the frontal sinuses (HP:0002687)	respiratory
HPO: J-shaped sella turcica (HP:0002680)	skeletal
HPO: Deformed sella turcica (HP:0002681)	skeletal
HPO: Absent frontal sinuses (HP:0002688)	respiratory
HPO: Elfin facies (HP:0004428)	other
HPO: Delayed myelination (HP:0012448)	nervous
HPO: Forearm undergrowth (HP:0009821)	skeletal
HPO: Short middle phalanx of finger (HP:0005819)	skeletal
HPO: Aplasia involving bones of the upper limbs (HP:0009823)	skeletal
HPO: Aplasia involving forearm bones (HP:0009822)	skeletal
HPO: Aplasia involving bones of the extremities (HP:0009825)	skeletal
HPO: Polycystic ovaries (HP:0000147)	reproductive
HPO: Bronchiectasis (HP:0002110)	respiratory
HPO: Supernumerary ribs (HP:0005815)	skeletal
HPO: Pulmonary infiltrates (HP:0002113)	respiratory
HPO: Abnormality of intracranial pressure (HP:0012640)	nervous
HPO: Alveolar cell carcinoma (HP:0006519)	respiratory
HPO: Abnormality of skeletal muscle fiber size (HP:0012084)	skeletal muscle
HPO: Supernumerary spleens (HP:0009799)	lymphatic
HPO: Abnormal vertebral ossification (HP:0100569)	skeletal
HPO: Impaired pain sensation (HP:0007328)	nervous
HPO: Hypopigmentation of the fundus (HP:0007894)	integumentary
HPO: Abnormal ciliary motility (HP:0012262)	respiratory
HPO: Abnormal respiratory motile cilium physiology (HP:0012261)	respiratory
HPO: Aplasia/hypoplasia of the uterus (HP:0008684)	reproductive
HPO: Carpal bone hypoplasia (HP:0001498)	skeletal
HPO: Mitral regurgitation (HP:0001653)	cardiovascular
HPO: Pachygyria (HP:0001302)	nervous
HPO: Prolonged QT interval (HP:0001657)	cardiovascular
HPO: Patent foramen ovale (HP:0001655)	cardiovascular
HPO: Tongue fasciculations (HP:0001308)	nervous
HPO: Myocardial infarction (HP:0001658)	cardiovascular
HPO: Aortic regurgitation (HP:0001659)	cardiovascular
HPO: IgA deficiency (HP:0002720)	immune
HPO: Congenital ichthyosiform erythroderma (HP:0007431)	integumentary
HPO: 11 pairs of ribs (HP:0000878)	skeletal
HPO: Oligomenorrhea (HP:0000876)	reproductive
HPO: Multiple lipomas (HP:0001012)	other
HPO: Recurrent skin infections (HP:0001581)	immune
HPO: Erythroderma (HP:0001019)	integumentary
HPO: Abnormality of the labia majora (HP:0012881)	reproductive
HPO: Abnormality of the labia minora (HP:0012880)	reproductive
HPO: Abnormal blistering of the skin (HP:0008066)	integumentary
HPO: Aplasia/Hypoplasia of the lens (HP:0008063)	nervous
HPO: Aplasia/Hypoplasia of the fovea (HP:0008060)	nervous
HPO: Aplasia/Hypoplasia affecting the retina (HP:0008061)	nervous
HPO: Abnormality of the 1st metacarpal (HP:0010009)	skeletal
HPO: Orthostatic hypotension (HP:0001278)	cardiovascular
HPO: Syncope (HP:0001279)	nervous
HPO: Short humerus (HP:0005792)	skeletal
HPO: Polyneuropathy (HP:0001271)	nervous
HPO: Cerebellar atrophy (HP:0001272)	nervous
HPO: Pointed chin (HP:0000307)	skeletal
HPO: Abnormal atrioventricular conduction (HP:0005150)	cardiovascular
HPO: Mandibular prognathia (HP:0000303)	skeletal
HPO: Delayed closure of the anterior fontanelle (HP:0001476)	skeletal
HPO: Microretrognathia (HP:0000308)	other
HPO: Aplasia/Hypoplasia of the tibia (HP:0005772)	skeletal
HPO: Pancytopenia (HP:0001876)	hematologic
HPO: Neutropenia (HP:0001875)	immune
HPO: Vesicoureteral reflux (HP:0000076)	urinary
HPO: Abnormality of eosinophils (HP:0001879)	hematologic
HPO: Prominent metopic ridge (HP:0005487)	skeletal
